ID,property_nm,address,county,acres,type,cost,hours_home,miles_home,contact_POC,date_contactd,website_link,Lat,Long
1,River Access," Indian Valley Road, Heathsville, VA 22473",Northumberland County,13,water,69000,2,99,email,14-Nov,https://www.land.com/property/13.06-acres-in-Northumberland-County-Virginia/12873771/?utm_source=shared_property_confirmation_receiver_email&utm_medium=email&utm_campaign=property_card,37.89276,-76.43269
2,Lake Area,"877 OLD CC ROAD, Gordonsville, VA 22942",Louisa County,10,dry,75000,1.5,75,email,14-Nov,https://www.land.com/property/10-acres-in-Louisa-County-Virginia/15031132/?utm_source=shared_property_confirmation_sender_email&utm_medium=email&utm_campaign=property_card ,38.09275,-78.15447
3,Potomac,"12 Neumans Road, Heathsville, VA 22473",Northumberland County,8,water,53000,2.16,103,email,14-Nov,https://www.land.com/property/7.6-acres-in-Northumberland-County-Virginia/15645582/?utm_source=shared_property_confirmation_sender_email&utm_medium=email&utm_campaign=property_card,37.95456,-76.39791
4,Packers,"000 ukn, Green Bay, VA 23942",Prince Edward County,29,dry,70149,0.75,44,email,14-Nov,https://www.land.com/property/29.22-acres-in-Prince-Edward-County-Virginia/15750031/?utm_source=shared_property_confirmation_sender_email&utm_medium=email&utm_campaign=property_card,37.13376,-78.31472
5,Lots of Woods,"4272 Fearstown Road, Randolph, VA 23962",Charlotte County,28,dry,70000,1.3,73,email,14-Nov,https://www.land.com/property/27.93-acres-in-Charlotte-County-Virginia/13752870/?utm_source=shared_property_confirmation_sender_email&utm_medium=email&utm_campaign=property_card,37.03267,-78.74591
6,Home Sweet Home,"15 Johnson Road, Jetersville, VA 23083",Amelia County,15,dry,89950,0.5,30,email,14-Nov,https://www.land.com/property/15-acres-in-Amelia-County-Virginia/15847685/?utm_source=shared_property_confirmation_receiver_email&utm_medium=email&utm_campaign=property_card,37.35649,-78.12601
7,Beach?,"128 MCKINNEY BLVD, Colonial Beach, VA 22443",Westmoreland County,21,water,79900,1.66,91,email,14-Nov,https://www.land.com/property/21-acres-in-Westmoreland-County-Virginia/15842165/?utm_source=shared_property_confirmation_receiver_email&utm_medium=email&utm_campaign=property_card,38.25734,-76.97675
